Pattern #1 Target #48 Run completed: 0 solutions; 24 fail nodes; 51 nodes; 2 milliseconds
Pattern #1 Target #78 Run completed: 0 solutions; 66 fail nodes; 183 nodes; 2 milliseconds
Pattern #1 Target #128 Run completed: 1 solutions; 9 fail nodes; 26 nodes; 0 milliseconds
Pattern #1 Target #163 Run completed: 0 solutions; 42 fail nodes; 93 nodes; 1 milliseconds
Pattern #1 Target #164 Run completed: 0 solutions; 2 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #170 Run completed: 0 solutions; 16 fail nodes; 35 nodes; 1 milliseconds
Pattern #1 Target #180 Run completed: 0 solutions; 11 fail nodes; 19 nodes; 0 milliseconds
Pattern #1 Target #186 Run completed: 1 solutions; 1 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #192 Run completed: 0 solutions; 12 fail nodes; 25 nodes; 1 milliseconds
Pattern #1 Target #203 Run completed: 0 solutions; 16 fail nodes; 33 nodes; 0 milliseconds
Pattern #1 Target #210 Run completed: 0 solutions; 28 fail nodes; 36 nodes; 0 milliseconds
Pattern #1 Target #211 Run completed: 0 solutions; 34 fail nodes; 101 nodes; 0 milliseconds
Pattern #1 Target #213 Run completed: 0 solutions; 20 fail nodes; 37 nodes; 0 milliseconds
Pattern #1 Target #220 Run completed: 0 solutions; 68 fail nodes; 161 nodes; 1 milliseconds
Pattern #1 Target #229 Run completed: 1 solutions; 3 fail nodes; 13 nodes; 0 milliseconds
Pattern #1 Target #256 Run completed: 0 solutions; 14 fail nodes; 33 nodes; 0 milliseconds
Pattern #1 Target #258 Run completed: 0 solutions; 12 fail nodes; 31 nodes; 0 milliseconds
Pattern #1 Target #262 Run completed: 0 solutions; 36 fail nodes; 91 nodes; 1 milliseconds
Pattern #1 Target #377 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #416 Run completed: 0 solutions; 40 fail nodes; 81 nodes; 0 milliseconds
Pattern #1 Target #439 Run completed: 0 solutions; 16 fail nodes; 33 nodes; 1 milliseconds
Pattern #1 Target #453 Run completed: 0 solutions; 12 fail nodes; 14 nodes; 0 milliseconds
Pattern #1 Target #473 Run completed: 0 solutions; 39 fail nodes; 73 nodes; 0 milliseconds
Pattern #1 Target #497 Run completed: 0 solutions; 12 fail nodes; 16 nodes; 0 milliseconds
Pattern #1 Target #500 Run completed: 0 solutions; 66 fail nodes; 151 nodes; 1 milliseconds
Pattern #1 Target #521 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #546 Run completed: 0 solutions; 36 fail nodes; 91 nodes; 0 milliseconds
Pattern #1 Target #626 Run completed: 0 solutions; 12 fail nodes; 33 nodes; 0 milliseconds
Pattern #1 Target #671 Run completed: 0 solutions; 24 fail nodes; 49 nodes; 1 milliseconds
Pattern #1 Target #679 Run completed: 0 solutions; 8 fail nodes; 17 nodes; 0 milliseconds
Pattern #1 Target #680 Run completed: 0 solutions; 3 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #737 Run completed: 0 solutions; 6 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #740 Run completed: 0 solutions; 37 fail nodes; 62 nodes; 0 milliseconds
Pattern #1 Target #742 Run completed: 0 solutions; 6 fail nodes; 8 nodes; 0 milliseconds
Pattern #1 Target #749 Run completed: 0 solutions; 5 fail nodes; 6 nodes; 0 milliseconds
Pattern #1 Target #750 Run completed: 0 solutions; 8 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #752 Run completed: 0 solutions; 6 fail nodes; 6 nodes; 0 milliseconds
Pattern #1 Target #755 Run completed: 0 solutions; 4 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #757 Run completed: 1 solutions; 4 fail nodes; 16 nodes; 0 milliseconds
Pattern #1 Target #762 Run completed: 0 solutions; 5 fail nodes; 5 nodes; 0 milliseconds
Pattern #1 Target #763 Run completed: 0 solutions; 2 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #779 Run completed: 0 solutions; 18 fail nodes; 31 nodes; 0 milliseconds
Pattern #1 Target #780 Run completed: 0 solutions; 24 fail nodes; 46 nodes; 0 milliseconds
Pattern #1 Target #788 Run completed: 0 solutions; 42 fail nodes; 55 nodes; 0 milliseconds
Pattern #1 Target #838 Run completed: 0 solutions; 7 fail nodes; 13 nodes; 0 milliseconds
Pattern #1 Target #839 Run completed: 0 solutions; 8 fail nodes; 16 nodes; 0 milliseconds
Pattern #1 Target #982 Run completed: 0 solutions; 12 fail nodes; 25 nodes; 0 milliseconds
Pattern #1 Target #989 Run completed: 0 solutions; 28 fail nodes; 61 nodes; 1 milliseconds
Pattern #1 Target #992 Run completed: 0 solutions; 16 fail nodes; 33 nodes; 0 milliseconds
