Pattern #1 Target #1 Run completed: 1 solutions; 3 fail nodes; 11 nodes; 3 milliseconds
Pattern #1 Target #2 Run completed: 1 solutions; 3 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #3 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #4 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #5 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #6 Run completed: 1 solutions; 4 fail nodes; 12 nodes; 1 milliseconds
fail 1: P#1 T#7
Pattern #1 Target #7 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
fail 1: P#1 T#8
Pattern #1 Target #8 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #9 Run completed: 1 solutions; 4 fail nodes; 12 nodes; 1 milliseconds
Pattern #1 Target #10 Run completed: 0 solutions; 4 fail nodes; 2 nodes; 0 milliseconds
Pattern #1 Target #11 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #12 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #13 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #14 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #15 Run completed: 0 solutions; 3 fail nodes; 2 nodes; 0 milliseconds
Pattern #1 Target #16 Run completed: 1 solutions; 5 fail nodes; 10 nodes; 1 milliseconds
Pattern #1 Target #17 Run completed: 1 solutions; 3 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #18 Run completed: 0 solutions; 7 fail nodes; 7 nodes; 1 milliseconds
Pattern #1 Target #19 Run completed: 0 solutions; 7 fail nodes; 7 nodes; 0 milliseconds
Pattern #1 Target #20 Run completed: 0 solutions; 4 fail nodes; 3 nodes; 1 milliseconds
Pattern #1 Target #21 Run completed: 1 solutions; 1 fail nodes; 10 nodes; 1 milliseconds
Pattern #1 Target #22 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #23 Run completed: 1 solutions; 23 fail nodes; 26 nodes; 0 milliseconds
Pattern #1 Target #24 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #25 Run completed: 1 solutions; 3 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #26 Run completed: 1 solutions; 2 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #27 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #28 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #29 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #30 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #31 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
fail 2: P#1 T#32
Pattern #1 Target #32 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #33 Run completed: 1 solutions; 2 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #34 Run completed: 0 solutions; 4 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #35 Run completed: 0 solutions; 4 fail nodes; 2 nodes; 0 milliseconds
Pattern #1 Target #36 Run completed: 1 solutions; 13 fail nodes; 21 nodes; 0 milliseconds
Pattern #1 Target #37 Run completed: 1 solutions; 5 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #38 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #39 Run completed: 0 solutions; 6 fail nodes; 8 nodes; 0 milliseconds
Pattern #1 Target #40 Run completed: 1 solutions; 6 fail nodes; 16 nodes; 1 milliseconds
Pattern #1 Target #41 Run completed: 0 solutions; 9 fail nodes; 4 nodes; 0 milliseconds
Pattern #1 Target #42 Run completed: 0 solutions; 9 fail nodes; 4 nodes; 0 milliseconds
Pattern #1 Target #43 Run completed: 1 solutions; 2 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #44 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #45 Run completed: 1 solutions; 2 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #46 Run completed: 1 solutions; 3 fail nodes; 12 nodes; 0 milliseconds
Pattern #1 Target #47 Run completed: 1 solutions; 3 fail nodes; 12 nodes; 1 milliseconds
Pattern #1 Target #48 Run completed: 1 solutions; 3 fail nodes; 12 nodes; 0 milliseconds
Pattern #1 Target #49 Run completed: 0 solutions; 43 fail nodes; 29 nodes; 0 milliseconds
Pattern #1 Target #50 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #51 Run completed: 1 solutions; 3 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #52 Run completed: 1 solutions; 3 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #53 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #54 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #55 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #56 Run completed: 1 solutions; 4 fail nodes; 12 nodes; 0 milliseconds
fail 1: P#1 T#57
Pattern #1 Target #57 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
fail 1: P#1 T#58
Pattern #1 Target #58 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #59 Run completed: 1 solutions; 4 fail nodes; 12 nodes; 0 milliseconds
Pattern #1 Target #60 Run completed: 0 solutions; 4 fail nodes; 2 nodes; 0 milliseconds
Pattern #1 Target #61 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #62 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #63 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #64 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #65 Run completed: 0 solutions; 3 fail nodes; 2 nodes; 0 milliseconds
Pattern #1 Target #66 Run completed: 1 solutions; 5 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #67 Run completed: 1 solutions; 3 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #68 Run completed: 0 solutions; 7 fail nodes; 7 nodes; 0 milliseconds
Pattern #1 Target #69 Run completed: 0 solutions; 7 fail nodes; 7 nodes; 0 milliseconds
Pattern #1 Target #70 Run completed: 0 solutions; 4 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #71 Run completed: 1 solutions; 1 fail nodes; 10 nodes; 1 milliseconds
Pattern #1 Target #72 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #73 Run completed: 1 solutions; 23 fail nodes; 26 nodes; 0 milliseconds
Pattern #1 Target #74 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #75 Run completed: 1 solutions; 3 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #76 Run completed: 1 solutions; 2 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #77 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #78 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #79 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #80 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #81 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
fail 2: P#1 T#82
Pattern #1 Target #82 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #83 Run completed: 1 solutions; 2 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #84 Run completed: 0 solutions; 4 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #85 Run completed: 0 solutions; 4 fail nodes; 2 nodes; 1 milliseconds
Pattern #1 Target #86 Run completed: 1 solutions; 13 fail nodes; 21 nodes; 0 milliseconds
Pattern #1 Target #87 Run completed: 1 solutions; 5 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #88 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #89 Run completed: 0 solutions; 6 fail nodes; 8 nodes; 0 milliseconds
Pattern #1 Target #90 Run completed: 1 solutions; 6 fail nodes; 16 nodes; 0 milliseconds
Pattern #1 Target #91 Run completed: 0 solutions; 9 fail nodes; 4 nodes; 0 milliseconds
Pattern #1 Target #92 Run completed: 0 solutions; 9 fail nodes; 4 nodes; 1 milliseconds
Pattern #1 Target #93 Run completed: 1 solutions; 2 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #94 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #95 Run completed: 1 solutions; 2 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #96 Run completed: 1 solutions; 3 fail nodes; 12 nodes; 0 milliseconds
