Pattern #1 Target #1 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 22 milliseconds
Pattern #1 Target #2 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 30 milliseconds
Pattern #1 Target #3 Run completed: 1 solutions; 3 fail nodes; 32 nodes; 0 milliseconds
Pattern #1 Target #4 Run completed: 1 solutions; 8 fail nodes; 44 nodes; 2 milliseconds
Pattern #1 Target #5 Run completed: 1 solutions; 8 fail nodes; 50 nodes; 5 milliseconds
Pattern #1 Target #6 Run completed: 1 solutions; 20 fail nodes; 77 nodes; 7 milliseconds
Pattern #1 Target #7 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 3 milliseconds
Pattern #1 Target #8 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 1 milliseconds
Pattern #1 Target #9 Run completed: 1 solutions; 7 fail nodes; 38 nodes; 3 milliseconds
Pattern #1 Target #10 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 5 milliseconds
Pattern #1 Target #11 Run completed: 0 solutions; 36 fail nodes; 101 nodes; 1 milliseconds
Pattern #1 Target #12 Run completed: 1 solutions; 28 fail nodes; 113 nodes; 3 milliseconds
Pattern #1 Target #13 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 3 milliseconds
Pattern #1 Target #14 Run completed: 1 solutions; 7 fail nodes; 40 nodes; 1 milliseconds
Pattern #1 Target #15 Run completed: 1 solutions; 5 fail nodes; 27 nodes; 2 milliseconds
Pattern #1 Target #16 Run completed: 1 solutions; 39 fail nodes; 123 nodes; 1 milliseconds
Pattern #1 Target #17 Run completed: 1 solutions; 11 fail nodes; 47 nodes; 3 milliseconds
Pattern #1 Target #18 Run completed: 1 solutions; 13 fail nodes; 54 nodes; 3 milliseconds
Pattern #1 Target #19 Run completed: 1 solutions; 7 fail nodes; 50 nodes; 1 milliseconds
Pattern #1 Target #20 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 5 milliseconds
Pattern #1 Target #21 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 4 milliseconds
Pattern #1 Target #22 Run completed: 1 solutions; 9 fail nodes; 42 nodes; 11 milliseconds
