Pattern #1 Target #1 Run completed: 0 solutions; 14 fail nodes; 15 nodes; 11 milliseconds
Pattern #1 Target #2 Run completed: 0 solutions; 15 fail nodes; 15 nodes; 5 milliseconds
Pattern #1 Target #3 Run completed: 0 solutions; 23 fail nodes; 19 nodes; 10 milliseconds
Pattern #1 Target #4 Run completed: 0 solutions; 27 fail nodes; 20 nodes; 9 milliseconds
Pattern #1 Target #5 Run completed: 0 solutions; 27 fail nodes; 20 nodes; 8 milliseconds
Pattern #1 Target #6 Run completed: 0 solutions; 13 fail nodes; 13 nodes; 5 milliseconds
fail 1: P#1 T#7
Pattern #1 Target #7 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 1 milliseconds
fail 1: P#1 T#8
Pattern #1 Target #8 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #9 Run completed: 0 solutions; 13 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #10 Run completed: 0 solutions; 3 fail nodes; 1 nodes; 1 milliseconds
Pattern #1 Target #11 Run completed: 0 solutions; 137 fail nodes; 199 nodes; 7 milliseconds
Pattern #1 Target #12 Run completed: 0 solutions; 114 fail nodes; 169 nodes; 6 milliseconds
Pattern #1 Target #13 Run completed: 0 solutions; 40 fail nodes; 47 nodes; 1 milliseconds
Pattern #1 Target #14 Run completed: 1 solutions; 10 fail nodes; 42 nodes; 1 milliseconds
Pattern #1 Target #15 Run completed: 0 solutions; 3 fail nodes; 3 nodes; 1 milliseconds
Pattern #1 Target #16 Run completed: 0 solutions; 79 fail nodes; 70 nodes; 3 milliseconds
Pattern #1 Target #17 Run completed: 1 solutions; 6 fail nodes; 34 nodes; 1 milliseconds
Pattern #1 Target #18 Run completed: 0 solutions; 8 fail nodes; 7 nodes; 1 milliseconds
Pattern #1 Target #19 Run completed: 0 solutions; 8 fail nodes; 7 nodes; 0 milliseconds
Pattern #1 Target #20 Run completed: 0 solutions; 6 fail nodes; 6 nodes; 1 milliseconds
Pattern #1 Target #21 Run completed: 0 solutions; 43 fail nodes; 54 nodes; 2 milliseconds
Pattern #1 Target #22 Run completed: 1 solutions; 42 fail nodes; 75 nodes; 1 milliseconds
Pattern #1 Target #23 Run completed: 0 solutions; 70 fail nodes; 53 nodes; 2 milliseconds
Pattern #1 Target #24 Run completed: 0 solutions; 54 fail nodes; 43 nodes; 2 milliseconds
Pattern #1 Target #25 Run completed: 0 solutions; 58 fail nodes; 48 nodes; 2 milliseconds
Pattern #1 Target #26 Run completed: 0 solutions; 16 fail nodes; 10 nodes; 1 milliseconds
Pattern #1 Target #27 Run completed: 0 solutions; 34 fail nodes; 42 nodes; 1 milliseconds
Pattern #1 Target #28 Run completed: 0 solutions; 25 fail nodes; 27 nodes; 1 milliseconds
Pattern #1 Target #29 Run completed: 0 solutions; 22 fail nodes; 22 nodes; 1 milliseconds
Pattern #1 Target #30 Run completed: 1 solutions; 12 fail nodes; 41 nodes; 1 milliseconds
Pattern #1 Target #31 Run completed: 1 solutions; 12 fail nodes; 46 nodes; 1 milliseconds
fail 1: P#1 T#32
Pattern #1 Target #32 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
fail 3: P#1 T#33
Pattern #1 Target #33 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #34 Run completed: 0 solutions; 4 fail nodes; 6 nodes; 1 milliseconds
Pattern #1 Target #35 Run completed: 0 solutions; 6 fail nodes; 4 nodes; 0 milliseconds
Pattern #1 Target #36 Run completed: 0 solutions; 11 fail nodes; 15 nodes; 0 milliseconds
Pattern #1 Target #37 Run completed: 0 solutions; 324 fail nodes; 341 nodes; 2 milliseconds
Pattern #1 Target #38 Run completed: 0 solutions; 50 fail nodes; 52 nodes; 1 milliseconds
Pattern #1 Target #39 Run completed: 0 solutions; 4 fail nodes; 2 nodes; 0 milliseconds
Pattern #1 Target #40 Run completed: 0 solutions; 13 fail nodes; 13 nodes; 0 milliseconds
Pattern #1 Target #41 Run completed: 0 solutions; 13 fail nodes; 7 nodes; 1 milliseconds
Pattern #1 Target #42 Run completed: 0 solutions; 14 fail nodes; 7 nodes; 1 milliseconds
fail 4: P#1 T#43
Pattern #1 Target #43 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #44 Run completed: 0 solutions; 7 fail nodes; 7 nodes; 1 milliseconds
Pattern #1 Target #45 Run completed: 0 solutions; 24 fail nodes; 23 nodes; 2 milliseconds
Pattern #1 Target #46 Run completed: 0 solutions; 32 fail nodes; 28 nodes; 1 milliseconds
Pattern #1 Target #47 Run completed: 0 solutions; 31 fail nodes; 25 nodes; 1 milliseconds
Pattern #1 Target #48 Run completed: 0 solutions; 32 fail nodes; 25 nodes; 1 milliseconds
Pattern #1 Target #49 Run completed: 0 solutions; 38 fail nodes; 26 nodes; 1 milliseconds
Pattern #1 Target #50 Run completed: 0 solutions; 25 fail nodes; 22 nodes; 1 milliseconds
Pattern #1 Target #51 Run completed: 0 solutions; 14 fail nodes; 15 nodes; 1 milliseconds
Pattern #1 Target #52 Run completed: 0 solutions; 15 fail nodes; 15 nodes; 1 milliseconds
Pattern #1 Target #53 Run completed: 0 solutions; 23 fail nodes; 19 nodes; 1 milliseconds
Pattern #1 Target #54 Run completed: 0 solutions; 27 fail nodes; 20 nodes; 1 milliseconds
Pattern #1 Target #55 Run completed: 0 solutions; 27 fail nodes; 20 nodes; 1 milliseconds
Pattern #1 Target #56 Run completed: 0 solutions; 13 fail nodes; 13 nodes; 1 milliseconds
fail 1: P#1 T#57
Pattern #1 Target #57 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
fail 1: P#1 T#58
Pattern #1 Target #58 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #59 Run completed: 0 solutions; 13 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #60 Run completed: 0 solutions; 3 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #61 Run completed: 0 solutions; 137 fail nodes; 199 nodes; 2 milliseconds
Pattern #1 Target #62 Run completed: 0 solutions; 114 fail nodes; 169 nodes; 2 milliseconds
Pattern #1 Target #63 Run completed: 0 solutions; 40 fail nodes; 47 nodes; 2 milliseconds
Pattern #1 Target #64 Run completed: 1 solutions; 10 fail nodes; 42 nodes; 1 milliseconds
Pattern #1 Target #65 Run completed: 0 solutions; 3 fail nodes; 3 nodes; 1 milliseconds
Pattern #1 Target #66 Run completed: 0 solutions; 79 fail nodes; 70 nodes; 2 milliseconds
Pattern #1 Target #67 Run completed: 1 solutions; 6 fail nodes; 34 nodes; 1 milliseconds
Pattern #1 Target #68 Run completed: 0 solutions; 8 fail nodes; 7 nodes; 1 milliseconds
Pattern #1 Target #69 Run completed: 0 solutions; 8 fail nodes; 7 nodes; 1 milliseconds
Pattern #1 Target #70 Run completed: 0 solutions; 6 fail nodes; 6 nodes; 1 milliseconds
Pattern #1 Target #71 Run completed: 0 solutions; 43 fail nodes; 54 nodes; 2 milliseconds
